Original_File_Name,Repeated,Destination_File_Name
1x1.sgy,False,1x1.sgy
1xN.sgy,False,1xN.sgy
acute-small.sgy,False,acute-small.sgy
delay-scalar.sgy,False,delay-scalar.sgy
f3-lsb.sgy,False,f3-lsb.sgy
f3.sgy,False,f3.sgy
interval-neg-bin-neg-trace.sgy,False,interval-neg-bin-neg-trace.sgy
interval-neg-bin-pos-trace.sgy,False,interval-neg-bin-pos-trace.sgy
interval-pos-bin-neg-trace.sgy,False,interval-pos-bin-neg-trace.sgy
inv-acute-small.sgy,False,inv-acute-small.sgy
inv-small-ps.sgy,False,inv-small-ps.sgy
left-small.sgy,False,left-small.sgy
long.sgy,False,long.sgy
multi-text.sgy,False,multi-text.sgy
Mx1.sgy,False,Mx1.sgy
normal-small.sgy,False,normal-small.sgy
obtuse-small.sgy,False,obtuse-small.sgy
reflex-small.sgy,False,reflex-small.sgy
right-small.sgy,False,right-small.sgy
shot-gather.sgy,False,shot-gather.sgy
small-lsb.sgy,False,small-lsb.sgy
small-ps-dec-il-inc-xl-off.sgy,False,small-ps-dec-il-inc-xl-off.sgy
small-ps-dec-il-off-inc-xl.sgy,False,small-ps-dec-il-off-inc-xl.sgy
small-ps-dec-il-xl-inc-off.sgy,False,small-ps-dec-il-xl-inc-off.sgy
small-ps-dec-il-xl-off.sgy,False,small-ps-dec-il-xl-off.sgy
small-ps-dec-off-inc-il-xl.sgy,False,small-ps-dec-off-inc-il-xl.sgy
small-ps-dec-xl-inc-il-off.sgy,False,small-ps-dec-xl-inc-il-off.sgy
small-ps-dec-xl-off-inc-il.sgy,False,small-ps-dec-xl-off-inc-il.sgy
small-ps.sgy,False,small-ps.sgy
small.sgy,False,small.sgy
straight-small.sgy,False,straight-small.sgy
text-embed-null.sgy,False,text-embed-null.sgy
text.sgy,False,text.sgy
小文件.sgy,False,小文件.sgy
Format10lsb.sgy,False,Format10lsb.sgy
Format10msb.sgy,False,Format10msb.sgy
Format11lsb.sgy,False,Format11lsb.sgy
Format11msb.sgy,False,Format11msb.sgy
Format12lsb.sgy,False,Format12lsb.sgy
Format12msb.sgy,False,Format12msb.sgy
Format15lsb.sgy,False,Format15lsb.sgy
Format15msb.sgy,False,Format15msb.sgy
Format16lsb.sgy,False,Format16lsb.sgy
Format16msb.sgy,False,Format16msb.sgy
Format1lsb.sgy,False,Format1lsb.sgy
Format1msb.sgy,False,Format1msb.sgy
Format2lsb.sgy,False,Format2lsb.sgy
Format2msb.sgy,False,Format2msb.sgy
Format3lsb.sgy,False,Format3lsb.sgy
Format3msb.sgy,False,Format3msb.sgy
Format4lsb.sgy,False,Format4lsb.sgy
Format4msb.sgy,False,Format4msb.sgy
Format5lsb.sgy,False,Format5lsb.sgy
Format5msb.sgy,False,Format5msb.sgy
Format6lsb.sgy,False,Format6lsb.sgy
Format6msb.sgy,False,Format6msb.sgy
Format7lsb.sgy,False,Format7lsb.sgy
Format7msb.sgy,False,Format7msb.sgy
Format8lsb.sgy,False,Format8lsb.sgy
Format8msb.sgy,False,Format8msb.sgy
Format9lsb.sgy,False,Format9lsb.sgy
Format9msb.sgy,False,Format9msb.sgy
